unique_id,category,subcategory,subsubcategory,subsubsubcategory,title,price,url
3274590543019_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de meuble fuseau en bois noir et doré Cime H. 16 cm,"14,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-meuble-fuseau-en-bois-noir-et-dore-cime-h-16-cm/3274590543019_CAFR.prd
5052931072330_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de table réglable Diall ø76 x H. 1100 mm chrome,"44,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-reglable-diall-76-x-h-1100-mm-chrome/5052931072330_CAFR.prd
3419934092536_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied métal réglable aluminium gris ø76 mm,"35,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-metal-reglable-aluminium-gris-76-mm/3419934092536_CAFR.prd
3234640059693_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de table modèle X Mottez H. 71 cm métal noir,"79,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-modele-x-mottez-h-71-cm-metal-noir/3234640059693_CAFR.prd
3234640062334_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de table profil en L Mottez en acier noir H. 73 cm,"49,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-profil-en-l-mottez-en-acier-noir-h-73-cm/3234640062334_CAFR.prd
5052931072293_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,"Pied de table Diall ø50 x 710 mm réglable, 4 pièces","59,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-table-diall-50-x-710-mm-reglable-4-pieces/5052931072293_CAFR.prd
3419931023007_CAFR.prd,quincaillerie,quincaillerie-de-meuble,pied-patin-et-embout,pied,Pied de lit cylindrique H. 80 mm x ø68 mm brut,"4,90",https://www.castorama.fr/quincaillerie/quincaillerie-de-meuble/pied-patin-et-embout/pied/cat_id_0001781.cat/pied-de-lit-cylindrique-h-80-mm-x-68-mm-brut/3419931023007_CAFR.prd
3663602919346_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde torsadée en polypropylène rouge DIALL ø14 mm, 7.5 m","12,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-torsadee-en-polypropylene-rouge-diall-14-mm-7-5-m/3663602919346_CAFR.prd
3663602919056_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde tressée en polypropylène bleue Diall ø2.8 mm, 20 m","2,50",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-tressee-en-polypropylene-bleue-diall-2-8-mm-20-m/3663602919056_CAFR.prd
3663602921479_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde tressée rouge ø9 mm, 7.5 m Diall","3,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-tressee-rouge-9-mm-7-5-m-diall/3663602921479_CAFR.prd
3663602918455_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Fil en inox Diall ø0.8 mm, 50 m Acier inoxydable","13,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/fil-en-inox-diall-0-8-mm-50-m-acier-inoxydable/3663602918455_CAFR.prd
3663602921882_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde de piano Diall ø0.6 mm, 34 m Acier","7,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-de-piano-diall-0-6-mm-34-m-acier/3663602921882_CAFR.prd
3663602919384_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde torsadée en polypropylène verte Diall ø10 mm, 50 m","32,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-torsadee-en-polypropylene-verte-diall-10-mm-50-m/3663602919384_CAFR.prd
3663602919681_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Ficelle de sisal DIALL ø3 mm, 300 m","25,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/ficelle-de-sisal-diall-3-mm-300-m/3663602919681_CAFR.prd
3663602919339_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde torsadée en polypropylène bleue DIALL ø12 mm, 20 m","26,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-torsadee-en-polypropylene-bleue-diall-12-mm-20-m/3663602919339_CAFR.prd
3663602919605_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Fil en polypropylène 250 grammes ø1,8 mm, 80 m","4,50",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/fil-en-polypropylene-250-grammes-1-8-mm-80-m/3663602919605_CAFR.prd
3663602919896_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,Galets polyamide Diall ø5 cm Nylon Noir,"2,70",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/galets-polyamide-diall-5-cm-nylon-noir/3663602919896_CAFR.prd
3663602918448_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,Fil en laiton Diall ø0.8 mm x 50 m Or,"14,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/fil-en-laiton-diall-0-8-mm-x-50-m-or/3663602918448_CAFR.prd
3663602918998_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Fil de laiton Diall ø0.4 mm, 30 m Cuivre","5,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/fil-de-laiton-diall-0-4-mm-30-m-cuivre/3663602918998_CAFR.prd
3663602919452_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde torsadée en sisal DIALL ø4 mm, 10 m","5,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-torsadee-en-sisal-diall-4-mm-10-m/3663602919452_CAFR.prd
3663602088981_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,Corde de rampe 32mm polypropylène Diall au mètre SEP32BE,"16,70",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-de-rampe-32mm-polypropylene-diall-au-metre-sep32be/3663602088981_CAFR.prd
3663602919575_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde tressée en nylon blanc Diall ø1.5 mm, 50 m","3,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-tressee-en-nylon-blanc-diall-1-5-mm-50-m/3663602919575_CAFR.prd
3663602147268_CAFR.prd,quincaillerie,quincaillerie-du-batiment,corde-sangle-sandow-chaine-et-cable,corde-et-accessoire,"Corde torsadée de rampe beige Diall ø32 mm, vendue au mètre linéaire","19,90",https://www.castorama.fr/quincaillerie/quincaillerie-du-batiment/corde-sangle-sandow-chaine-et-cable/corde-et-accessoire/cat_id_2948.cat/corde-torsadee-de-rampe-beige-diall-32-mm-vendue-au-metre-lineaire/3663602147268_CAFR.prd
