category,is_page_list,url
"Lampe torche, baladeuse et projecteur de chantier",False,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/cat_id_1255.cat
"Transformateur, convertisseur et chargeur USB",False,https://www.castorama.fr/electricite/transformateur-convertisseur-et-chargeur-usb/cat_id_1214.cat
Outils d'électricien,False,https://www.castorama.fr/electricite/outils-d-electricien/cat_id_1875.cat
Groupe électrogène,False,https://www.castorama.fr/outillage/groupe-electrogene/cat_id_1625.cat
Energie solaire,False,https://www.castorama.fr/energie-solaire/cat_id_0003313.cat
Peinture intérieure,False,https://www.castorama.fr/peinture/peinture-interieure/cat_id_3622.cat
Peinture extérieure,False,https://www.castorama.fr/peinture/peinture-exterieure/cat_id_2865.cat
Réparation et traitement du bois intérieur et extérieur,False,https://www.castorama.fr/reparation-et-traitement-du-bois-interieur-et-exterieur/cat_id_0004289.cat
Peinture professionnelle,False,https://www.castorama.fr/peinture/peinture-exterieure/peinture-professionnelle/cat_id_5456.cat
Créez votre peinture sur-mesure,False,https://www.castorama.fr/peinture/peinture-interieure/peinture-sur-mesure/cat_id_5207.cat
Sous-couche peinture,False,https://www.castorama.fr/peinture/peinture-interieure/preparation-des-murs-et-plafonds/sous-couche/cat_id_2171.cat
Préparation des murs et plafonds,False,https://www.castorama.fr/peinture/peinture-interieure/preparation-des-murs-et-plafonds/cat_id_2141.cat
Outils du peintre,False,https://www.castorama.fr/peinture/outils-du-peintre/cat_id_1996.cat
"Droguerie, entretien de la maison",False,https://www.castorama.fr/droguerie-entretien-de-la-maison/cat_id_3955.cat
Luminaire et éclairage intérieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-interieur/cat_id_1340.cat
Luminaire et éclairage extérieur,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-exterieur/cat_id_1112.cat
Ampoule,False,https://www.castorama.fr/luminaire-et-eclairage/ampoule/cat_id_1289.cat
Luminaire et éclairage connectés,False,https://www.castorama.fr/luminaire-et-eclairage/luminaire-et-eclairage-connectes/cat_id_5994.cat
Guirlande lumineuse,False,https://www.castorama.fr/guirlande-lumineuse/cat_id_0002066.cat
Projecteur et lampe de chantier,False,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/projecteur-et-lampe-de-chantier/cat_id_5306.cat
Décoration textile,False,https://www.castorama.fr/decoration-interieure/decoration-textile/cat_id_912.cat
Papier peint et fibre de verre,False,https://www.castorama.fr/decoration-interieure/papier-peint-et-revetement-mural/cat_id_2024.cat
Décoration murale et accessoires déco,False,https://www.castorama.fr/decoration-interieure/decoration-murale-et-accessoires-deco/cat_id_5303.cat
Store et panneau japonais,False,https://www.castorama.fr/decoration-interieure/store/cat_id_1086.cat
Outillage électroportatif,False,https://www.castorama.fr/outillage/outillage-electroportatif/cat_id_3554.cat
Outillage à main,False,https://www.castorama.fr/outillage/outillage-a-main/cat_id_1728.cat
Outils de mesure et de traçage,False,https://www.castorama.fr/outillage/outillage-a-main/metre-niveau-et-outils-de-mesure-et-tracage/cat_id_4371.cat
Machine d'atelier,False,https://www.castorama.fr/outillage/machine-stationnaire-d-atelier/cat_id_1589.cat
Etabli et rangement des outils,False,https://www.castorama.fr/outillage/etabli-diable-et-rangement-des-outils/cat_id_1408.cat
Outillage par métier,False,https://www.castorama.fr/outillage/outillage-par-metier/cat_id_0001943.cat
Soudure,False,https://www.castorama.fr/outillage/soudure/cat_id_1893.cat
Manutention et transport,False,https://www.castorama.fr/outillage/manutention-et-transport/cat_id_0001944.cat
Aspirateur et nettoyeur,False,https://www.castorama.fr/outillage/aspirateur-et-nettoyeur/cat_id_1585.cat
Projecteur et lampe de chantier,False,https://www.castorama.fr/electricite/lampe-torche-baladeuse-et-projecteur-de-chantier/projecteur-et-lampe-de-chantier/cat_id_5306.cat
"Escabeau, marche pied, échelle et échafaudage",False,https://www.castorama.fr/outillage/escabeau-marche-pied-echelle-et-echafaudage/cat_id_1595.cat
Matériel de chantier,False,https://www.castorama.fr/outillage/materiel-de-chantier/cat_id_720.cat
Equipement de protection individuelle,False,https://www.castorama.fr/outillage/vetement-chaussures-et-protection/cat_id_1923.cat
Outil motorisé de jardin,False,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/cat_id_1456.cat
Equipement et accessoires pour vélo et trottinette,False,https://www.castorama.fr/outillage/equipement-et-accessoires-pour-velo-et-trottinette/cat_id_0002013.cat
Équipement et accessoires auto,False,https://www.castorama.fr/outillage/outillage-a-main/cable-chargeur-et-accessoires-de-voiture/cat_id_5302.cat
Graisse et lubrifiant,False,https://www.castorama.fr/jardin-et-terrasse/tondeuse-et-outil-motorise/huile-piece-de-rechange-et-accessoire-pour-outil-motorise/jerrican-d-essence-graisse-et-lubrifiant/cat_id_2678.cat
"Pistolet à peinture, décolleuse et décapeur",False,https://www.castorama.fr/outillage/pistolet-a-peinture-decolleuse-et-decapeur/cat_id_2329.cat
Matériaux bois,False,https://www.castorama.fr/menuiserie/panneau-bois-lambris-tablette-tasseau-moulure-et-plinthe/cat_id_163.cat
Matériaux verre,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/verre-et-occultation/verre/cat_id_822.cat
"Escalier, barrière de sécurité, balustrade et garde corps",False,https://www.castorama.fr/menuiserie/escalier-rampe-et-balustrade/cat_id_3553.cat
Fenêtre,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/fenetre/cat_id_4337.cat
Porte-fenêtre,False,https://www.castorama.fr/porte-fenetre/cat_id_0001953.cat
Baie vitrée,False,https://www.castorama.fr/baie-vitree/cat_id_0001952.cat
Fenêtre de toit,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/fenetre-de-toit-et-accessoire/cat_id_4314.cat
Volet,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/volet-et-accessoire/cat_id_2580.cat
Porte intérieure,False,https://www.castorama.fr/menuiserie/porte-interieure/cat_id_3520.cat
Porte extérieure,False,https://www.castorama.fr/menuiserie/porte-exterieure-de-service-et-porte-de-garage/cat_id_3522.cat
Porte de garage,False,https://www.castorama.fr/jardin-et-terrasse/portail-portillon-porte-de-garage-et-motorisation/porte-de-garage/cat_id_2556.cat
Séparateur de pièce,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/separateur-de-piece/cat_id_5269.cat
Moustiquaire,False,https://www.castorama.fr/menuiserie/fenetre-fenetre-de-toit-volet/moustiquaire/cat_id_2539.cat
Menuiserie sur mesure,False,https://www.castorama.fr/menuiserie/menuiserie-sur-mesure/cat_id_5052.cat
Matériaux de construction,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiau-poudre-et-agregat/cat_id_667.cat
Isolation,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/isolation/cat_id_3475.cat
Cloison,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/cloison/cat_id_562.cat
"Toiture, charpente et couverture",False,https://www.castorama.fr/materiaux-et-gros-oeuvre/toiture-charpente-et-couverture/cat_id_473.cat
Revêtement du mur extérieur,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/revetement-de-la-facade/cat_id_794.cat
Traitement et évacuation des eaux,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/evacuation-des-eaux-et-assainissement/cat_id_599.cat
Etanchéité,False,https://www.castorama.fr/materiaux-et-gros-oeuvre/materiaux/produit-d-etancheite/cat_id_580.cat
Matériel de chantier,False,https://www.castorama.fr/outillage/materiel-de-chantier/cat_id_720.cat
"Sous-couche parquet, sol pvc et stratifié",False,https://www.castorama.fr/carrelage-sol/parquet-sol-stratifie-et-plancher/sous-couche-parquet-sol-pvc-et-stratifie/cat_id_3244.cat
"Carrelage, faïence et mosaïque",False,https://www.castorama.fr/carrelage-sol/carrelage-sol-et-mural/cat_id_3304.cat
Parquet bois et stratifié,False,https://www.castorama.fr/carrelage-sol/parquet-sol-stratifie-et-plancher/cat_id_3232.cat
Sol vinyle PVC,False,https://www.castorama.fr/carrelage-sol/sol-vinyle-pvc-moquette/cat_id_2707.cat
Moquette et jonc de mer,False,https://www.castorama.fr/carrelage-sol/moquette-et-jonc-de-mer/cat_id_0001814.cat
Plinthe,False,https://www.castorama.fr/carrelage-sol/plinthe/cat_id_0001808.cat
Revêtement mural,False,https://www.castorama.fr/carrelage-sol/revetement-mural/cat_id_0001887.cat
"Barre de seuil, nez de marche et profilé de rénovation",False,https://www.castorama.fr/carrelage-sol/parquet-sol-stratifie-et-plancher/barre-de-seuil-et-nez-de-marche/cat_id_3233.cat
Préparation et finition du sol,False,https://www.castorama.fr/carrelage-sol/preparation-et-finition-du-sol/cat_id_0001805.cat
